5737;T41903N;4X4 EVO v1.001 (2000)(GOD)(US)[!]
E60D;T40509D 50;Aqua GT v1.000 (2000)(Take 2)(PAL)(M3)[!]
1797;T40301N 00;Armada v1.000 (1999)(Metro3D)(US)[!]
E9E3;T15130N;Atari Anniversary Edition v1.001 (2001)(Infogrames)(US)[!][compilation]
22A2;T44102N;BANG! - Gunship Elite v1.003 (2000)(Red Storm)(US)[!]
33DB;T1214M;Biohazard 2 Value Plus v1.005 (1999)(Capcom)(JP)(en)(Disc 1 of 2)[!][Leon] ... (Disc 2 of 2)[!][Claire]
81EA;T-8109D-50;Bust-A-Move 4 v1.001 (2000)(Acclaim)(PAL)[!]
5966;T-8117N;Bust-A-Move 4 v1.001 (2000)(Acclaim)(US)[!][3S]
B7B0;12502D-50;Caesars Palace 2000 - Millennium Gold Edition v1.000 (2000)(Interplay)(PAL)[!]
D183;T-12504N;Caesars Palace 2000 - Millennium Gold Edition v1.011 (2000)(Interplay)(US)[!]
65E8;T40602N;Centipede v1.004 (1999)(Hasbro)(US)[!]
2CC0;T41403N;Championship Surfer v1.002 (2000)(Mattel)(US)[!]
2239;T41402D 50;Championship Surfer v1.002 (2001)(GAME Studios)(PAL)(M5)[!]
7E57;T37912M;Cherry Blossom v1.002 (2004)(Takuyo)(JP)[!]
7544;T-8120N;Dave Mirra Freestyle BMX v1.001 (2000)(Acclaim)(US)[!][0K055A, B, D, E]
B0A1;T1102M;Densha de Go! 2 - Kousoku-hen 3000 Bandai v1.001 (1999)(Taito)(JP)[!]
E904;6107110 06;Dreamcast Express Vol. 6 v1.003 (2000)(Sega)(JP)(Disc 1 of 2)[!] ... (Disc 2 of 2)[!][Trial & Movie Disk]
1800;T-8113N;Ducati World - Racing Challenge v1.000 (2001)(Acclaim)(US)[!]
258E;T-8121D-50;Ducati World v1.001 (2001)(Acclaim)(PAL)(M4)[!]
7915;T9503M;Eisei Meijin III - Game Creator Yoshimura Nobuhiro no Zunou v1.000 (1999)(Konami)(JP)[!]
CA6E;T22903D 50;Exhibition of Speed v1.000 (2000)(Titus)(PAL)(M6)[!]
